Gene	Gene description	Evidence
COL3A1	Collagen type III alpha 1 chain	Evidence at protein level
COL4A1	Collagen type IV alpha 1 chain	Evidence at protein level
COL4A2	Collagen type IV alpha 2 chain	Evidence at protein level
COL4A3	Collagen type IV alpha 3 chain	Evidence at protein level
COL4A4	Collagen type IV alpha 4 chain	Evidence at protein level
COL4A5	Collagen type IV alpha 5 chain	Evidence at protein level
COL5A1	Collagen type V alpha 1 chain	Evidence at protein level
COL5A2	Collagen type V alpha 2 chain	Evidence at protein level
COL5A3	Collagen type V alpha 3 chain	Evidence at protein level
COL6A1	Collagen type VI alpha 1 chain	Evidence at protein level
COL6A2	Collagen type VI alpha 2 chain	Evidence at protein level
COL6A3	Collagen type VI alpha 3 chain	Evidence at protein level
COL7A1	Collagen type VII alpha 1 chain	Evidence at protein level
COL8A1	Collagen type VIII alpha 1 chain	Evidence at protein level
COL8A2	Collagen type VIII alpha 2 chain	Evidence at protein level
COL9A1	Collagen type IX alpha 1 chain	Evidence at protein level
COL9A2	Collagen type IX alpha 2 chain	Evidence at protein level
COL9A3	Collagen type IX alpha 3 chain	Evidence at protein level
COLEC11	Collectin subfamily member 11	Evidence at protein level
COLEC12	Collectin subfamily member 12	Evidence at protein level
COLGALT1	Collagen beta(1-O)galactosyltransferase 1	Evidence at protein level
COLGALT2	Collagen beta(1-O)galactosyltransferase 2	Evidence at protein level
COLQ	Collagen like tail subunit of asymmetric acetylcholinesterase	Evidence at protein level
COMP	Cartilage oligomeric matrix protein	Evidence at protein level
COMTD1	Catechol-O-methyltransferase domain containing 1	Evidence at protein level
COQ8A	Coenzyme Q8A	Evidence at protein level
CORO1A	Coronin 1A	Evidence at protein level
CORO2A	Coronin 2A	Evidence at protein level
CORO2B	Coronin 2B	Evidence at protein level
CORO6	Coronin 6	Evidence at protein level
COX18	Cytochrome c oxidase assembly factor COX18	Evidence at protein level
COX4I2	Cytochrome c oxidase subunit 4I2	Evidence at protein level
COX6A2	Cytochrome c oxidase subunit 6A2	Evidence at protein level
CP	Ceruloplasmin	Evidence at protein level
CPA1	Carboxypeptidase A1	Evidence at protein level
CPA2	Carboxypeptidase A2	Evidence at protein level
CPA4	Carboxypeptidase A4	Evidence at protein level
CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8	Evidence at protein level
CPB1	Carboxypeptidase B1	Evidence at protein level
CPEB1	Cytoplasmic polyadenylation element binding protein 1	Evidence at protein level
CPED1	Cadherin like and PC-esterase domain containing 1	Evidence at protein level
CPLANE1	Ciliogenesis and planar polarity effector complex subunit 1	Evidence at protein level
CPLX1	Complexin 1	Evidence at protein level
CPM	Carboxypeptidase M	Evidence at protein level
CPNE5	Copine 5	Evidence at protein level
CPNE7	Copine 7	Evidence at protein level
CPS1	Carbamoyl-phosphate synthase 1	Evidence at protein level
CPT1C	Carnitine palmitoyltransferase 1C	Evidence at protein level
CPVL	Carboxypeptidase vitellogenic like	Evidence at protein level
CPXM1	"Carboxypeptidase X, M14 family member 1"	Evidence at protein level
CPXM2	"Carboxypeptidase X, M14 family member 2"	Evidence at protein level
CPZ	Carboxypeptidase Z	Evidence at protein level
CRABP1	Cellular retinoic acid binding protein 1	Evidence at protein level
CRACD	Capping protein inhibiting regulator of actin dynamics	Evidence at protein level
CRACDL	CRACD like	Evidence at protein level
CREB3L1	CAMP responsive element binding protein 3 like 1	Evidence at protein level
CREB5	CAMP responsive element binding protein 5	Evidence at protein level
CRHBP	Corticotropin releasing hormone binding protein	Evidence at protein level
CRIP1	Cysteine rich protein 1	Evidence at protein level
CRIP3	Cysteine rich protein 3	Evidence at protein level
CRISPLD1	Cysteine rich secretory protein LCCL domain containing 1	Evidence at protein level
CRLF1	Cytokine receptor like factor 1	Evidence at protein level
CRMP1	Collapsin response mediator protein 1	Evidence at protein level
CROCC	"Ciliary rootlet coiled-coil, rootletin"	Evidence at protein level
CRPPA	CDP-L-ribitol pyrophosphorylase A	Evidence at protein level
CRTAC1	Cartilage acidic protein 1	Evidence at protein level
CRYAB	Crystallin alpha B	Evidence at protein level
CRYBG3	Crystallin beta-gamma domain containing 3	Evidence at protein level
CRYGS	Crystallin gamma S	Evidence at protein level
CRYM	Crystallin mu	Evidence at protein level
CSDC2	Cold shock domain containing C2	Evidence at protein level
CSF2RA	Colony stimulating factor 2 receptor subunit alpha	Evidence at protein level
CSF2RB	Colony stimulating factor 2 receptor subunit beta	Evidence at protein level
CSF3	Colony stimulating factor 3	Evidence at protein level
CSF3R	Colony stimulating factor 3 receptor	Evidence at protein level
CSPG4	Chondroitin sulfate proteoglycan 4	Evidence at protein level
CSRNP3	Cysteine and serine rich nuclear protein 3	Evidence at protein level
CSRP2	Cysteine and glycine rich protein 2	Evidence at protein level
CST6	Cystatin E/M	Evidence at protein level
CST7	Cystatin F	Evidence at protein level
CSTA	Cystatin A	Evidence at protein level
CTBS	Chitobiase	Evidence at protein level
CTHRC1	Collagen triple helix repeat containing 1	Evidence at protein level
CTNNA2	Catenin alpha 2	Evidence at protein level
CTNND2	Catenin delta 2	Evidence at protein level
CTRB1	Chymotrypsinogen B1	Evidence at protein level
CTRB2	Chymotrypsinogen B2	Evidence at protein level
CTRC	Chymotrypsin C	Evidence at protein level
CTRL	Chymotrypsin like	Evidence at protein level
CTSF	Cathepsin F	Evidence at protein level
CTSV	Cathepsin V	Evidence at protein level
CTSW	Cathepsin W	Evidence at protein level
CTTNBP2	Cortactin binding protein 2	Evidence at protein level
CTTNBP2NL	CTTNBP2 N-terminal like	Evidence at protein level
CTU1	Cytosolic thiouridylase subunit 1	Evidence at protein level
CTXN1	Cortexin 1	Evidence at transcript level
CX3CL1	C-X3-C motif chemokine ligand 1	Evidence at protein level
CX3CR1	C-X3-C motif chemokine receptor 1	Evidence at protein level
CXADR	CXADR Ig-like cell adhesion molecule	Evidence at protein level
CXCL1	C-X-C motif chemokine ligand 1	Evidence at protein level
CXCL10	C-X-C motif chemokine ligand 10	Evidence at protein level
CXCL11	C-X-C motif chemokine ligand 11	Evidence at protein level
CXCL13	C-X-C motif chemokine ligand 13	Evidence at protein level
CXCL14	C-X-C motif chemokine ligand 14	Evidence at protein level
CXCL2	C-X-C motif chemokine ligand 2	Evidence at protein level
CXCL3	C-X-C motif chemokine ligand 3	Evidence at protein level
CXCL5	C-X-C motif chemokine ligand 5	Evidence at protein level
CXCL8	C-X-C motif chemokine ligand 8	Evidence at protein level
CXCR5	C-X-C motif chemokine receptor 5	Evidence at protein level
CXXC4	CXXC finger protein 4	Evidence at transcript level
CYP11A1	Cytochrome P450 family 11 subfamily A member 1	Evidence at protein level
CYP17A1	Cytochrome P450 family 17 subfamily A member 1	Evidence at protein level
CYP1B1	Cytochrome P450 family 1 subfamily B member 1	Evidence at protein level
CYP20A1	Cytochrome P450 family 20 subfamily A member 1	Evidence at protein level
CYP21A2	Cytochrome P450 family 21 subfamily A member 2	Evidence at protein level
CYP26B1	Cytochrome P450 family 26 subfamily B member 1	Evidence at protein level
CYP2C8	Cytochrome P450 family 2 subfamily C member 8	Evidence at protein level
CYP2E1	Cytochrome P450 family 2 subfamily E member 1	Evidence at protein level
CYP2J2	Cytochrome P450 family 2 subfamily J member 2	Evidence at protein level
CYP2R1	Cytochrome P450 family 2 subfamily R member 1	Evidence at protein level
CYP2S1	Cytochrome P450 family 2 subfamily S member 1	Evidence at protein level
CYP2U1	Cytochrome P450 family 2 subfamily U member 1	Evidence at protein level
CYP39A1	Cytochrome P450 family 39 subfamily A member 1	Evidence at protein level
CYP46A1	Cytochrome P450 family 46 subfamily A member 1	Evidence at protein level
CYP4F11	Cytochrome P450 family 4 subfamily F member 11	Evidence at protein level
CYP4F3	Cytochrome P450 family 4 subfamily F member 3	Evidence at protein level
CYP4X1	Cytochrome P450 family 4 subfamily X member 1	Evidence at protein level
CYP7B1	Cytochrome P450 family 7 subfamily B member 1	Evidence at protein level
CYS1	Cystin 1	Evidence at protein level
CYSLTR2	Cysteinyl leukotriene receptor 2	Evidence at protein level
CYTH4	Cytohesin 4	Evidence at protein level
CYTIP	Cytohesin 1 interacting protein	Evidence at protein level
CYTL1	Cytokine like 1	Evidence at protein level
CYYR1	Cysteine and tyrosine rich 1	Evidence at transcript level
DAB1	DAB adaptor protein 1	Evidence at protein level
DAB2IP	DAB2 interacting protein	Evidence at protein level
DACH1	Dachshund family transcription factor 1	Evidence at protein level
DACT2	Dishevelled binding antagonist of beta catenin 2	Evidence at protein level
DAGLA	Diacylglycerol lipase alpha	Evidence at protein level
DAPK2	Death associated protein kinase 2	Evidence at protein level
DAPL1	Death associated protein like 1	Evidence at protein level
DAPP1	Dual adaptor of phosphotyrosine and 3-phosphoinositides 1	Evidence at protein level
DBF4B	DBF4 zinc finger B	Evidence at protein level
DBNDD1	Dysbindin domain containing 1	Evidence at protein level
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	Evidence at protein level
DCBLD1	"Discoidin, CUB and LCCL domain containing 1"	Evidence at protein level
DCDC2	Doublecortin domain containing 2	Evidence at protein level
DCHS1	Dachsous cadherin-related 1	Evidence at protein level
DCLK1	Doublecortin like kinase 1	Evidence at protein level
DCLK2	Doublecortin like kinase 2	Evidence at protein level
DCLRE1B	DNA cross-link repair 1B	Evidence at protein level
DCLRE1C	DNA cross-link repair 1C	Evidence at protein level
DDAH1	Dimethylarginine dimethylaminohydrolase 1	Evidence at protein level
DDC	Dopa decarboxylase	Evidence at protein level
DDIT4L	DNA damage inducible transcript 4 like	Evidence at protein level
DDO	D-aspartate oxidase	Evidence at protein level
DDR1	Discoidin domain receptor tyrosine kinase 1	Evidence at protein level
DDR2	Discoidin domain receptor tyrosine kinase 2	Evidence at protein level
DDTL	D-dopachrome tautomerase like	Evidence at transcript level
DDX20	DEAD-box helicase 20	Evidence at protein level
DDX24	DEAD-box helicase 24	Evidence at protein level
DDX25	DEAD-box helicase 25	Evidence at protein level
DDX31	DEAD-box helicase 31	Evidence at protein level
DDX3Y	DEAD-box helicase 3 Y-linked	Evidence at protein level
DEAF1	DEAF1 transcription factor	Evidence at protein level
DECR2	"2,4-dienoyl-CoA reductase 2"	Evidence at protein level
DEF6	DEF6 guanine nucleotide exchange factor	Evidence at protein level
DEFA1	Defensin alpha 1	Evidence at protein level
DEFA1B	Defensin alpha 1B	Evidence at protein level
DEFA3	Defensin alpha 3	Evidence at protein level
DEFB1	Defensin beta 1	Evidence at protein level
DEGS2	"Delta 4-desaturase, sphingolipid 2"	Evidence at protein level
DENND11	DENN domain containing 11	Evidence at protein level
DENND1B	DENN domain containing 1B	Evidence at protein level
DENND1C	DENN domain containing 1C	Evidence at protein level
DENND2A	DENN domain containing 2A	Evidence at protein level
DENND2D	DENN domain containing 2D	Evidence at protein level
DENND6B	DENN domain containing 6B	Evidence at protein level
DEPDC1B	DEP domain containing 1B	Evidence at protein level
DEPDC7	DEP domain containing 7	Evidence at protein level
DERL3	Derlin 3	Evidence at protein level
DES	Desmin	Evidence at protein level
DGAT1	Diacylglycerol O-acyltransferase 1	Evidence at protein level
DGAT2	Diacylglycerol O-acyltransferase 2	Evidence at protein level
DGCR6	DiGeorge syndrome critical region gene 6	Evidence at protein level
DGKD	Diacylglycerol kinase delta	Evidence at protein level
DGKG	Diacylglycerol kinase gamma	Evidence at protein level
DGKH	Diacylglycerol kinase eta	Evidence at protein level
DHRS2	Dehydrogenase/reductase 2	Evidence at protein level
DHRS9	Dehydrogenase/reductase 9	Evidence at protein level
DHX37	DEAH-box helicase 37	Evidence at protein level
DHX58	DExH-box helicase 58	Evidence at protein level
DIO2	Iodothyronine deiodinase 2	Evidence at protein level
DIO3	Iodothyronine deiodinase 3	Evidence at protein level
DIP2C	Disco interacting protein 2 homolog C	Evidence at protein level
DIPK2B	Divergent protein kinase domain 2B	Evidence at protein level
DIRAS1	DIRAS family GTPase 1	Evidence at protein level
DIRAS2	DIRAS family GTPase 2	Evidence at protein level
DIRAS3	DIRAS family GTPase 3	Evidence at protein level
DISC1	DISC1 scaffold protein	Evidence at protein level
DISP1	Dispatched RND transporter family member 1	Evidence at protein level
DIXDC1	DIX domain containing 1	Evidence at protein level
DKK1	Dickkopf WNT signaling pathway inhibitor 1	Evidence at protein level
DKK3	Dickkopf WNT signaling pathway inhibitor 3	Evidence at protein level
DLG2	Discs large MAGUK scaffold protein 2	Evidence at protein level
DLG3	Discs large MAGUK scaffold protein 3	Evidence at protein level
DLG5	Discs large MAGUK scaffold protein 5	Evidence at protein level
DLGAP1	DLG associated protein 1	Evidence at protein level
DLK1	Delta like non-canonical Notch ligand 1	Evidence at protein level
DLK2	Delta like non-canonical Notch ligand 2	Evidence at protein level
DLL1	Delta like canonical Notch ligand 1	Evidence at protein level
DLL4	Delta like canonical Notch ligand 4	Evidence at protein level
DLX5	Distal-less homeobox 5	Evidence at protein level
DMBT1	Deleted in malignant brain tumors 1	Evidence at protein level
DMD	Dystrophin	Evidence at protein level
DMGDH	Dimethylglycine dehydrogenase	Evidence at protein level
DMKN	Dermokine	Evidence at protein level
DMRT2	Doublesex and mab-3 related transcription factor 2	Evidence at protein level
DMRTC1B	DMRT like family C1B	Evidence at protein level
DNA2	DNA replication helicase/nuclease 2	Evidence at protein level
DNAAF11	Dynein axonemal assembly factor 11	Evidence at protein level
DNAAF3	Dynein axonemal assembly factor 3	Evidence at protein level
DNAAF4	Dynein axonemal assembly factor 4	Evidence at protein level
DNAAF8	Dynein axonemal assembly factor 8	Evidence at protein level
DNAH1	Dynein axonemal heavy chain 1	Evidence at protein level
DNAH14	Dynein axonemal heavy chain 14	Evidence at protein level
DNAH7	Dynein axonemal heavy chain 7	Evidence at protein level
DNAH9	Dynein axonemal heavy chain 9	Evidence at protein level
DNAI3	Dynein axonemal intermediate chain 3	Evidence at protein level
DNAI4	Dynein axonemal intermediate chain 4	Evidence at protein level
DNAI7	Dynein axonemal intermediate chain 7	Evidence at protein level
DNAJB13	DnaJ heat shock protein family (Hsp40) member B13	Evidence at protein level
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	Evidence at protein level
DNAJC18	DnaJ heat shock protein family (Hsp40) member C18	Evidence at protein level
DNAJC22	DnaJ heat shock protein family (Hsp40) member C22	Evidence at protein level
DNAJC25	DnaJ heat shock protein family (Hsp40) member C25	Evidence at protein level
DNAJC28	DnaJ heat shock protein family (Hsp40) member C28	Evidence at protein level
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	Evidence at protein level
DNALI1	Dynein axonemal light intermediate chain 1	Evidence at protein level
DNASE1	Deoxyribonuclease 1	Evidence at protein level
DNASE1L2	Deoxyribonuclease 1 like 2	Evidence at protein level
DNER	Delta/notch like EGF repeat containing	Evidence at protein level
DNHD1	Dynein heavy chain domain 1	Evidence at protein level
DNLZ	DNL-type zinc finger	Evidence at protein level
DNM3	Dynamin 3	Evidence at protein level
DNMT3B	DNA methyltransferase 3 beta	Evidence at protein level
DOC2A	Double C2 domain alpha	Evidence at protein level
DOC2B	Double C2 domain beta	Evidence at protein level
DOCK1	Dedicator of cytokinesis 1	Evidence at protein level
DOCK2	Dedicator of cytokinesis 2	Evidence at protein level
DOCK3	Dedicator of cytokinesis 3	Evidence at protein level
DOCK4	Dedicator of cytokinesis 4	Evidence at protein level
DOCK6	Dedicator of cytokinesis 6	Evidence at protein level
DOCK8	Dedicator of cytokinesis 8	Evidence at protein level
DOHH	Deoxyhypusine hydroxylase	Evidence at protein level
DOK1	Docking protein 1	Evidence at protein level
DOK3	Docking protein 3	Evidence at protein level
DOK5	Docking protein 5	Evidence at protein level
DOK6	Docking protein 6	Evidence at protein level
DOK7	Docking protein 7	Evidence at protein level
DPEP2	Dipeptidase 2	Evidence at protein level
DPP6	Dipeptidyl peptidase like 6	Evidence at protein level
DPY19L2	Dpy-19 like 2	Evidence at protein level
DPYSL3	Dihydropyrimidinase like 3	Evidence at protein level
DPYSL4	Dihydropyrimidinase like 4	Evidence at protein level
DRC3	Dynein regulatory complex subunit 3	Evidence at protein level
DRD2	Dopamine receptor D2	Evidence at protein level
DRD4	Dopamine receptor D4	Evidence at protein level
DRICH1	Aspartate rich 1	Evidence at protein level
DSC2	Desmocollin 2	Evidence at protein level
DSCAML1	DS cell adhesion molecule like 1	Evidence at protein level
DSCC1	DNA replication and sister chromatid cohesion 1	Evidence at protein level
DSEL	Dermatan sulfate epimerase like	Evidence at protein level
DSP	Desmoplakin	Evidence at protein level
DTNA	Dystrobrevin alpha	Evidence at protein level
DTWD2	DTW domain containing 2	Evidence at protein level
DTX1	Deltex E3 ubiquitin ligase 1	Evidence at protein level
DUOX1	Dual oxidase 1	Evidence at protein level
DUOXA1	Dual oxidase maturation factor 1	Evidence at protein level
DUS4L	Dihydrouridine synthase 4 like	Evidence at protein level
DUS4L-BCAP29	DUS4L-BCAP29 readthrough	Evidence at protein level
DUSP10	Dual specificity phosphatase 10	Evidence at protein level
DUSP14	Dual specificity phosphatase 14	Evidence at protein level
DUSP15	Dual specificity phosphatase 15	Evidence at protein level
DUSP18	Dual specificity phosphatase 18	Evidence at protein level
DUSP19	Dual specificity phosphatase 19	Evidence at protein level
DUSP2	Dual specificity phosphatase 2	Evidence at protein level
DUSP26	Dual specificity phosphatase 26	Evidence at protein level
DUSP28	Dual specificity phosphatase 28	Evidence at protein level
DUSP4	Dual specificity phosphatase 4	Evidence at protein level
DUSP8	Dual specificity phosphatase 8	Evidence at protein level
DYNC1H1	Dynein cytoplasmic 1 heavy chain 1	Evidence at protein level
DYNC1I1	Dynein cytoplasmic 1 intermediate chain 1	Evidence at protein level
DYNC2H1	Dynein cytoplasmic 2 heavy chain 1	Evidence at protein level
DYNLRB2	Dynein light chain roadblock-type 2	Evidence at protein level
DYNLT5	Dynein light chain Tctex-type family member 5	Evidence at protein level
DYRK3	Dual specificity tyrosine phosphorylation regulated kinase 3	Evidence at protein level
DZANK1	Double zinc ribbon and ankyrin repeat domains 1	Evidence at protein level
DZIP1	DAZ interacting zinc finger protein 1	Evidence at protein level
DZIP1L	DAZ interacting zinc finger protein 1 like	Evidence at protein level
E2F1	E2F transcription factor 1	Evidence at protein level
E2F5	E2F transcription factor 5	Evidence at protein level
EAF2	ELL associated factor 2	Evidence at protein level
EBF1	EBF transcription factor 1	Evidence at protein level
EBF3	EBF transcription factor 3	Evidence at protein level
EBF4	EBF family member 4	Evidence at protein level
EBI3	Epstein-Barr virus induced 3	Evidence at protein level
ECEL1	Endothelin converting enzyme like 1	Evidence at protein level
ECM1	Extracellular matrix protein 1	Evidence at protein level
ECM2	Extracellular matrix protein 2	Evidence at protein level
ECRG4	ECRG4 augurin precursor	Evidence at protein level
ECSCR	Endothelial cell surface expressed chemotaxis and apoptosis regulator	Evidence at protein level
ECT2	Epithelial cell transforming 2	Evidence at protein level
EDA	Ectodysplasin A	Evidence at protein level
EDA2R	Ectodysplasin A2 receptor	Evidence at protein level
EDIL3	EGF like repeats and discoidin domains 3	Evidence at protein level
EDN3	Endothelin 3	Evidence at protein level
EDNRA	Endothelin receptor type A	Evidence at protein level
EDNRB	Endothelin receptor type B	Evidence at protein level
EEA1	Early endosome antigen 1	Evidence at protein level
EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	Evidence at protein level
EEF2K	Eukaryotic elongation factor 2 kinase	Evidence at protein level
EEFSEC	"Eukaryotic elongation factor, selenocysteine-tRNA specific"	Evidence at protein level
EFCAB10	EF-hand calcium binding domain 10	Evidence at protein level
EFCAB12	EF-hand calcium binding domain 12	Evidence at protein level
EFCAB13	EF-hand calcium binding domain 13	Evidence at protein level
EFCAB6	EF-hand calcium binding domain 6	Evidence at protein level
EFEMP1	EGF containing fibulin extracellular matrix protein 1	Evidence at protein level
EFHC2	EF-hand domain containing 2	Evidence at protein level
EFHD1	EF-hand domain family member D1	Evidence at protein level
EFNA3	Ephrin A3	Evidence at protein level
EFNA4	Ephrin A4	Evidence at protein level
EFNA5	Ephrin A5	Evidence at protein level
EFNB2	Ephrin B2	Evidence at protein level
EFNB3	Ephrin B3	Evidence at protein level
EFR3B	EFR3 homolog B	Evidence at protein level
EFS	Embryonal Fyn-associated substrate	Evidence at protein level
EGFL8	EGF like domain multiple 8	Evidence at protein level
EGFLAM	"EGF like, fibronectin type III and laminin G domains"	Evidence at protein level
EGFR	Epidermal growth factor receptor	Evidence at protein level
EGLN3	Egl-9 family hypoxia inducible factor 3	Evidence at protein level
EGR2	Early growth response 2	Evidence at protein level
EGR3	Early growth response 3	Evidence at protein level
EHBP1L1	EH domain binding protein 1 like 1	Evidence at protein level
EHD2	EH domain containing 2	Evidence at protein level
EHF	ETS homologous factor	Evidence at protein level
EHMT2	Euchromatic histone lysine methyltransferase 2	Evidence at protein level
EID2B	EP300 interacting inhibitor of differentiation 2B	Evidence at protein level
EID3	EP300 interacting inhibitor of differentiation 3	Evidence at protein level
EIF1AY	Eukaryotic translation initiation factor 1A Y-linked	Evidence at protein level
EIF2AK3	Eukaryotic translation initiation factor 2 alpha kinase 3	Evidence at protein level
ELANE	"Elastase, neutrophil expressed"	Evidence at protein level
ELAPOR1	Endosome-lysosome associated apoptosis and autophagy regulator 1	Evidence at protein level
ELAPOR2	Endosome-lysosome associated apoptosis and autophagy regulator family member 2	Evidence at protein level
ELF4	E74 like ETS transcription factor 4	Evidence at protein level
ELFN1	Extracellular leucine rich repeat and fibronectin type III domain containing 1	Evidence at protein level
ELL3	Elongation factor for RNA polymerase II 3	Evidence at protein level
ELMO3	Engulfment and cell motility 3	Evidence at protein level
ELMOD1	ELMO domain containing 1	Evidence at protein level
ELN	Elastin	Evidence at protein level
ELOA	Elongin A	Evidence at protein level
ELOVL2	ELOVL fatty acid elongase 2	Evidence at protein level
ELOVL4	ELOVL fatty acid elongase 4	Evidence at protein level
ELOVL6	ELOVL fatty acid elongase 6	Evidence at protein level
ELOVL7	ELOVL fatty acid elongase 7	Evidence at protein level
EMCN	Endomucin	Evidence at protein level
EME2	Essential meiotic structure-specific endonuclease subunit 2	Evidence at protein level
EMID1	EMI domain containing 1	Evidence at protein level
EMILIN1	Elastin microfibril interfacer 1	Evidence at protein level
EMILIN2	Elastin microfibril interfacer 2	Evidence at protein level
EMILIN3	Elastin microfibril interfacer 3	Evidence at protein level
EML1	EMAP like 1	Evidence at protein level
EML5	EMAP like 5	Evidence at protein level
EML6	EMAP like 6	Evidence at protein level
EMP2	Epithelial membrane protein 2	Evidence at protein level
EMX2	Empty spiracles homeobox 2	Evidence at protein level
ENAH	ENAH actin regulator	Evidence at protein level
ENDOU	"Endonuclease, poly(U) specific"	Evidence at protein level
ENHO	Energy homeostasis associated	Evidence at protein level
ENOX1	Ecto-NOX disulfide-thiol exchanger 1	Evidence at protein level
ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase 3	Evidence at protein level
ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	Evidence at protein level
ENPP6	Ectonucleotide pyrophosphatase/phosphodiesterase 6	Evidence at protein level
ENSG00000144785	Novel protein	Evidence at protein level
ENSG00000188897	Novel lipoprotein amino terminal region containing protein	Evidence at transcript level
ENSG00000249319	Novel protein	Evidence at transcript level
ENSG00000249624	Novel protein	Evidence at transcript level
ENSG00000250644	Novel protein	Evidence at transcript level
ENSG00000254692	Novel protein	Evidence at protein level
ENSG00000255730	Novel protein	Evidence at protein level
ENSG00000256500	Novel protein	Evidence at protein level
ENSG00000256591	Novel transcript	Evidence at transcript level
ENSG00000257767	Novel protein	Evidence at transcript level
ENSG00000258311	Novel protein	Evidence at transcript level
ENSG00000258674	Novel protein	Evidence at transcript level
ENSG00000258989	Novel protein	Evidence at transcript level
ENSG00000259171	"Novel protein, ANG-RNASE4 readthrough"	Evidence at transcript level
ENSG00000260342	Novel protein	Evidence at transcript level
ENSG00000260371	Novel protein	Evidence at transcript level
ENSG00000260643	Novel protein	Evidence at protein level
ENSG00000263020	Novel protein	Evidence at protein level
ENSG00000263620	Novel protein	Evidence at transcript level
ENSG00000265303	Novel protein	Evidence at transcript level
ENSG00000267001	Novel protein	Evidence at protein level
ENSG00000267318	Novel protein	Evidence at transcript level
ENSG00000267561	Novel protein	Evidence at protein level
ENSG00000267740	Novel protein	Evidence at protein level
ENSG00000268533	Novel protein	Evidence at transcript level
ENSG00000268643	Novel protein	Evidence at protein level
ENSG00000268674		Evidence at transcript level
ENSG00000268750	Novel protein	Evidence at transcript level
ENSG00000272772	Novel protein	Evidence at protein level
ENSG00000276256		Evidence at transcript level
ENSG00000276345		Evidence at transcript level
ENSG00000277400		Evidence at protein level
ENSG00000277475		Evidence at transcript level
ENSG00000277639	Novel protein	Evidence at transcript level
ENSG00000278817		Evidence at transcript level
ENSG00000281039	Novel protein	Evidence at protein level
ENSG00000283149	Novel protein	Evidence at protein level
ENSG00000283201	Zinc finger protein 724	Evidence at transcript level
ENSG00000283809	Novel protein	Evidence at transcript level
ENSG00000284057	"Novel protein, C11orf54-MED17 readthrough"	Evidence at protein level
ENSG00000284526	Novel protein	Evidence at transcript level
ENSG00000284691	Novel zinc finger protein	Evidence at transcript level
ENSG00000284762	Phosphodiesterase 8B	Evidence at protein level
ENSG00000285043	Novel protein	Evidence at transcript level
ENSG00000285218	Novel protein	Evidence at transcript level
ENSG00000285253	Novel protein	Evidence at transcript level
ENSG00000285304	Novel protein	Evidence at protein level
ENSG00000285330	Novel protein	Evidence at transcript level
ENSG00000285458	Novel protein	Evidence at transcript level
ENSG00000285920	Novel protein	Evidence at protein level
ENSG00000285938	BCL6 antisense 1	Evidence at transcript level
ENSG00000285976	Novel protein	Evidence at transcript level
ENSG00000285982	Novel protein	Evidence at transcript level
ENSG00000286190	Novel protein	Evidence at transcript level
ENSG00000286264	Novel protein	Evidence at transcript level
ENSG00000288841	Novel protein	Evidence at transcript level
ENSG00000289027	Novel protein	Evidence at transcript level
ENSG00000289692	Novel protein	Evidence at transcript level
ENSG00000290318	Novel protein	Evidence at transcript level
ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2	Evidence at protein level
ENTPD3	Ectonucleoside triphosphate diphosphohydrolase 3	Evidence at protein level
ENTPD7	Ectonucleoside triphosphate diphosphohydrolase 7	Evidence at protein level
ENTREP1	Endosomal transmembrane epsin interactor 1	Evidence at protein level
EPB41L1	Erythrocyte membrane protein band 4.1 like 1	Evidence at protein level
EPB41L4A	Erythrocyte membrane protein band 4.1 like 4A	Evidence at protein level
EPB41L4B	Erythrocyte membrane protein band 4.1 like 4B	Evidence at protein level
EPCAM	Epithelial cell adhesion molecule	Evidence at protein level
EPHA1	EPH receptor A1	Evidence at protein level
EPHA2	EPH receptor A2	Evidence at protein level
EPHA3	EPH receptor A3	Evidence at protein level
EPHA4	EPH receptor A4	Evidence at protein level
EPHA7	EPH receptor A7	Evidence at protein level
EPHB1	EPH receptor B1	Evidence at protein level
EPHB2	EPH receptor B2	Evidence at protein level
EPHB3	EPH receptor B3	Evidence at protein level
EPHB4	EPH receptor B4	Evidence at protein level
EPHB6	EPH receptor B6	Evidence at transcript level
EPN3	Epsin 3	Evidence at protein level
EPOP	Elongin BC and polycomb repressive complex 2 associated protein	Evidence at protein level
EPS8	Epidermal growth factor receptor pathway substrate 8	Evidence at protein level
EPS8L2	EPS8 like 2	Evidence at protein level
EPSTI1	Epithelial stromal interaction 1	Evidence at protein level
ERBB3	Erb-b2 receptor tyrosine kinase 3	Evidence at protein level
ERBB4	Erb-b2 receptor tyrosine kinase 4	Evidence at protein level
ERG	ETS transcription factor ERG	Evidence at protein level
ERICH2	Glutamate rich 2	Evidence at protein level
ERICH5	Glutamate rich 5	Evidence at protein level
ERMP1	Endoplasmic reticulum metallopeptidase 1	Evidence at protein level
ESM1	Endothelial cell specific molecule 1	Evidence at protein level
ESPN	Espin	Evidence at protein level
ESR1	Estrogen receptor 1	Evidence at protein level
